Movie_Name,City,Theatre_Name,Ticket_Price,No_of_Tickets_Sold,Total_Revenue,Booking_Date,Release_Date
Guntur Kaaram,Chennai,INOX,293,96,28128,2024-12-27,2025-01-17
The Crew,Chennai,Miraj Cinemas,462,195,90090,2024-11-04,2024-11-21
Mr. and Mrs. Mahi,Kolkata,Miraj Cinemas,277,161,44597,2024-10-26,2024-11-04
Stree 2,Lucknow,Wave Cinemas,491,35,17185,2024-11-03,2024-11-25
Dunki,Bangalore,INOX,528,85,44880,2025-01-31,2025-02-18
The Crew,Kolkata,Wave Cinemas,271,194,52574,2025-01-31,2025-02-11
Tiger 3,Bangalore,Carnival Cinemas,375,31,11625,2025-01-27,2025-02-22
Tiger 3,Delhi,Miraj Cinemas,213,110,23430,2024-11-13,2024-11-27
Salaar,Pune,Cinepolis,328,140,45920,2025-02-06,2025-02-15
Emergency,Kolkata,Cinepolis,400,163,65200,2025-02-12,2025-02-23
Metro In Dino,Chennai,Cinepolis,269,44,11836,2024-10-31,2024-11-21
Salaar,Chennai,PVR,569,64,36416,2025-01-12,2025-02-02
Guntur Kaaram,Bhopal,Cinepolis,422,184,77648,2024-12-18,2025-01-01
Salaar,Indore,Wave Cinemas,530,139,73670,2025-01-12,2025-01-29
Yodha,Jaipur,Miraj Cinemas,383,103,39449,2025-01-22,2025-02-19
Stree 2,Jaipur,Miraj Cinemas,499,135,67365,2024-12-25,2025-01-23
Fighter,Jaipur,Cinepolis,228,161,36708,2025-01-21,2025-02-16
Yodha,Ahmedabad,Cinepolis,395,106,41870,2024-11-03,2024-11-20
Bhool Bhulaiyaa 3,Pune,Cinepolis,529,183,96807,2024-11-16,2024-12-03
Tiger 3,Ahmedabad,PVR,373,22,8206,2025-01-14,2025-02-01
Jigra,Hyderabad,Cinepolis,437,113,49381,2024-11-17,2024-12-07
Chandu Champion,Chandigarh,Wave Cinemas,487,161,78407,2025-01-26,2025-02-14
The Crew,Bangalore,Wave Cinemas,324,69,22356,2025-01-11,2025-01-24
Sam Bahadur,Hyderabad,Wave Cinemas,371,114,42294,2024-10-28,2024-11-11
Merry Christmas,Bangalore,Wave Cinemas,456,119,54264,2024-11-07,2024-12-03
Fighter,Delhi,Wave Cinemas,448,15,6720,2025-02-08,2025-02-23
Emergency,Kolkata,INOX,495,167,82665,2024-11-06,2024-11-22
Metro In Dino,Jaipur,PVR,531,48,25488,2025-01-10,2025-01-18
Bhool Bhulaiyaa 3,Ahmedabad,PVR,466,85,39610,2024-10-14,2024-11-12
Animal,Delhi,Wave Cinemas,350,71,24850,2025-01-10,2025-02-03
Dunki,Chandigarh,Cinepolis,494,151,74594,2024-11-10,2024-11-29
Dunki,Ahmedabad,Cinepolis,568,181,102808,2024-11-08,2024-12-06
Tiger 3,Delhi,INOX,590,26,15340,2024-12-23,2025-01-09
Animal,Chennai,Miraj Cinemas,488,47,22936,2025-02-08,2025-02-15
The Crew,Hyderabad,Carnival Cinemas,590,93,54870,2024-11-30,2024-12-30
The Crew,Mumbai,Miraj Cinemas,209,134,28006,2024-10-05,2024-11-04
The Crew,Lucknow,Carnival Cinemas,184,193,35512,2024-11-30,2024-12-19
Jigra,Pune,INOX,300,37,11100,2024-12-01,2024-12-23
Chandu Champion,Jaipur,PVR,444,85,37740,2024-12-13,2025-01-04
Yodha,Bangalore,Carnival Cinemas,383,146,55918,2024-10-16,2024-11-03
The Crew,Chennai,Wave Cinemas,339,78,26442,2025-02-02,2025-02-09
Guntur Kaaram,Bhopal,PVR,401,96,38496,2024-12-01,2024-12-27
Dunki,Pune,PVR,260,36,9360,2024-12-04,2024-12-19
Tiger 3,Indore,Wave Cinemas,320,14,4480,2024-11-29,2024-12-24
Salaar,Pune,INOX,413,110,45430,2025-01-05,2025-01-24
Pushpa 2,Chennai,INOX,351,39,13689,2025-01-06,2025-02-04
The Diplomat,Indore,Cinepolis,412,75,30900,2025-01-11,2025-01-31
Guntur Kaaram,Bangalore,Cinepolis,335,53,17755,2024-12-13,2025-01-03
Emergency,Bangalore,Cinepolis,329,11,3619,2024-12-08,2024-12-18
Jigra,Pune,INOX,417,160,66720,2025-01-20,2025-02-02
Sam Bahadur,Lucknow,Wave Cinemas,189,117,22113,2025-01-13,2025-01-29
Metro In Dino,Mumbai,PVR,418,131,54758,2025-01-12,2025-01-24
Fighter,Hyderabad,Wave Cinemas,332,184,61088,2024-11-06,2024-11-29
Fighter,Kolkata,Miraj Cinemas,557,38,21166,2025-01-19,2025-01-29
The Diplomat,Bhopal,Cinepolis,377,152,57304,2024-11-25,2024-12-04
Fighter,Pune,PVR,451,13,5863,2024-12-15,2024-12-30
Fighter,Indore,Miraj Cinemas,476,109,51884,2025-02-03,2025-02-11
Singham Again,Jaipur,PVR,242,164,39688,2024-11-22,2024-12-20
The Diplomat,Lucknow,Cinepolis,264,60,15840,2024-10-26,2024-11-17
Stree 2,Bangalore,INOX,260,108,28080,2025-02-09,2025-02-18
Chandu Champion,Pune,Carnival Cinemas,404,172,69488,2024-12-01,2024-12-31
Metro In Dino,Pune,Cinepolis,358,117,41886,2024-12-19,2025-01-07
Fighter,Bangalore,Miraj Cinemas,335,73,24455,2024-11-09,2024-12-06
The Diplomat,Hyderabad,Wave Cinemas,266,147,39102,2024-10-25,2024-11-24
Emergency,Chennai,INOX,418,29,12122,2024-11-21,2024-12-03
Emergency,Chennai,Wave Cinemas,221,181,40001,2024-12-22,2025-01-12
Emergency,Pune,Carnival Cinemas,564,24,13536,2024-11-04,2024-12-04
Sam Bahadur,Delhi,INOX,387,182,70434,2024-10-29,2024-11-16
Tiger 3,Mumbai,Cinepolis,350,121,42350,2024-11-13,2024-12-11
Emergency,Lucknow,Carnival Cinemas,499,72,35928,2024-11-09,2024-11-26
The Diplomat,Indore,Cinepolis,334,53,17702,2024-11-01,2024-11-23
Singham Again,Ahmedabad,Carnival Cinemas,453,74,33522,2024-10-17,2024-11-06
Bade Miyan Chote Miyan,Ahmedabad,Carnival Cinemas,254,48,12192,2025-01-29,2025-02-18
Emergency,Chandigarh,INOX,267,190,50730,2025-02-04,2025-02-11
Yodha,Delhi,Carnival Cinemas,361,12,4332,2024-12-02,2024-12-25
Salaar,Lucknow,Wave Cinemas,451,101,45551,2025-01-16,2025-02-04
Stree 2,Bangalore,Cinepolis,366,80,29280,2024-12-20,2025-01-13
Tiger 3,Kolkata,Miraj Cinemas,244,51,12444,2024-12-16,2025-01-06
Chandu Champion,Pune,Carnival Cinemas,327,46,15042,2024-10-25,2024-11-24
Tiger 3,Chennai,Miraj Cinemas,452,136,61472,2024-11-27,2024-12-12
Merry Christmas,Lucknow,Miraj Cinemas,436,124,54064,2024-12-06,2024-12-22
Jigra,Delhi,Miraj Cinemas,503,12,6036,2024-12-25,2025-01-06
Chandu Champion,Delhi,Carnival Cinemas,425,19,8075,2025-01-07,2025-02-02
The Diplomat,Hyderabad,Carnival Cinemas,211,173,36503,2025-02-06,2025-02-17
Bhool Bhulaiyaa 3,Hyderabad,Carnival Cinemas,225,123,27675,2025-01-05,2025-02-02
Fighter,Ahmedabad,Miraj Cinemas,278,18,5004,2024-11-28,2024-12-21
Mr. and Mrs. Mahi,Mumbai,PVR,221,59,13039,2024-11-03,2024-11-14
Emergency,Bangalore,Wave Cinemas,289,178,51442,2025-01-23,2025-02-14
Yodha,Mumbai,Miraj Cinemas,239,118,28202,2024-11-30,2024-12-08
Fighter,Lucknow,Wave Cinemas,429,121,51909,2024-11-29,2024-12-17
Guntur Kaaram,Indore,PVR,267,41,10947,2025-01-18,2025-02-10
Animal,Bhopal,PVR,486,148,71928,2025-01-24,2025-02-09
Animal,Ahmedabad,INOX,560,145,81200,2025-01-02,2025-01-09
Stree 2,Pune,INOX,368,145,53360,2024-10-04,2024-11-03
Bade Miyan Chote Miyan,Bangalore,Carnival Cinemas,539,68,36652,2024-12-29,2025-01-16
Dunki,Bhopal,Miraj Cinemas,503,40,20120,2024-12-03,2024-12-12
The Crew,Ahmedabad,Cinepolis,536,100,53600,2025-01-29,2025-02-23
Bade Miyan Chote Miyan,Hyderabad,INOX,207,20,4140,2024-12-16,2025-01-01
Bade Miyan Chote Miyan,Kolkata,Wave Cinemas,384,169,64896,2024-11-02,2024-11-16
Yodha,Chandigarh,Cinepolis,332,79,26228,2024-12-06,2025-01-01
Stree 2,Chandigarh,PVR,325,81,26325,2024-12-11,2024-12-19
The Diplomat,Indore,Carnival Cinemas,531,13,6903,2024-10-14,2024-11-01
Merry Christmas,Pune,Cinepolis,365,56,20440,2025-01-26,2025-02-11
Pushpa 2,Jaipur,Wave Cinemas,340,57,19380,2024-12-19,2024-12-29
The Diplomat,Jaipur,Cinepolis,220,41,9020,2024-10-20,2024-11-14
Merry Christmas,Mumbai,Carnival Cinemas,438,155,67890,2024-11-09,2024-11-17
War 2,Hyderabad,INOX,550,184,101200,2024-12-13,2025-01-07
Merry Christmas,Hyderabad,Cinepolis,523,48,25104,2024-11-26,2024-12-08
Singham Again,Hyderabad,INOX,509,37,18833,2025-01-12,2025-01-26
Guntur Kaaram,Delhi,Cinepolis,371,117,43407,2024-11-30,2024-12-14
Tiger 3,Chandigarh,Miraj Cinemas,254,190,48260,2024-12-29,2025-01-09
Pushpa 2,Kolkata,Cinepolis,265,118,31270,2024-11-22,2024-12-07
Bhool Bhulaiyaa 3,Jaipur,INOX,567,188,106596,2025-01-06,2025-01-25
Animal,Hyderabad,Cinepolis,498,125,62250,2024-12-01,2024-12-17
Bade Miyan Chote Miyan,Pune,PVR,579,117,67743,2025-01-29,2025-02-23
Mr. and Mrs. Mahi,Bhopal,Carnival Cinemas,281,80,22480,2025-02-07,2025-02-16
Sam Bahadur,Jaipur,INOX,385,16,6160,2024-12-06,2024-12-23
Stree 2,Delhi,Cinepolis,473,102,48246,2024-11-01,2024-11-13
War 2,Kolkata,INOX,398,198,78804,2024-12-28,2025-01-17
Salaar,Indore,INOX,426,14,5964,2025-01-08,2025-01-30
Metro In Dino,Kolkata,Miraj Cinemas,494,155,76570,2025-02-15,2025-02-28
The Diplomat,Ahmedabad,PVR,257,127,32639,2024-11-28,2024-12-10
Bhool Bhulaiyaa 3,Mumbai,INOX,330,52,17160,2025-02-02,2025-02-17
Bade Miyan Chote Miyan,Indore,INOX,388,72,27936,2024-11-01,2024-11-21
Chandu Champion,Chennai,Miraj Cinemas,370,62,22940,2024-12-10,2024-12-19
Metro In Dino,Lucknow,Cinepolis,394,181,71314,2025-01-28,2025-02-16
Singham Again,Mumbai,Miraj Cinemas,419,178,74582,2024-11-04,2024-11-14
Salaar,Delhi,PVR,341,197,67177,2024-11-03,2024-11-26
The Crew,Bangalore,Carnival Cinemas,582,72,41904,2024-10-30,2024-11-29
Yodha,Chandigarh,Wave Cinemas,544,83,45152,2025-02-11,2025-02-20
Mr. and Mrs. Mahi,Bangalore,Carnival Cinemas,181,74,13394,2024-12-23,2025-01-04
Emergency,Pune,Carnival Cinemas,547,71,38837,2025-01-05,2025-02-01
Guntur Kaaram,Chandigarh,INOX,304,170,51680,2024-11-23,2024-12-17
The Diplomat,Ahmedabad,Miraj Cinemas,542,176,95392,2025-01-15,2025-01-26
Dunki,Ahmedabad,INOX,401,31,12431,2024-12-25,2025-01-01
Merry Christmas,Indore,Miraj Cinemas,594,178,105732,2025-01-12,2025-02-11
Bade Miyan Chote Miyan,Bhopal,Miraj Cinemas,314,35,10990,2025-02-11,2025-02-23
Sam Bahadur,Bangalore,Cinepolis,363,49,17787,2024-10-22,2024-11-12
Bhool Bhulaiyaa 3,Pune,INOX,486,108,52488,2024-12-29,2025-01-15
Sam Bahadur,Kolkata,Miraj Cinemas,379,37,14023,2025-01-02,2025-01-12
Singham Again,Pune,PVR,190,135,25650,2024-11-16,2024-11-27
Stree 2,Mumbai,PVR,265,133,35245,2024-12-15,2025-01-14
Mr. and Mrs. Mahi,Jaipur,Carnival Cinemas,466,28,13048,2025-01-29,2025-02-22
Dunki,Ahmedabad,INOX,345,12,4140,2024-12-03,2024-12-19
Bade Miyan Chote Miyan,Chandigarh,Carnival Cinemas,414,33,13662,2024-12-03,2024-12-27
Salaar,Ahmedabad,PVR,458,52,23816,2024-12-04,2024-12-18
Pushpa 2,Delhi,Miraj Cinemas,593,84,49812,2025-02-15,2025-02-25
Salaar,Ahmedabad,Cinepolis,285,185,52725,2024-12-13,2025-01-08
Yodha,Bhopal,Wave Cinemas,214,190,40660,2025-01-01,2025-01-10
Guntur Kaaram,Mumbai,Cinepolis,193,23,4439,2024-11-09,2024-11-19
Dunki,Delhi,PVR,556,170,94520,2025-01-02,2025-01-30
Animal,Ahmedabad,INOX,488,172,83936,2024-12-04,2025-01-02
Bade Miyan Chote Miyan,Jaipur,Carnival Cinemas,573,18,10314,2024-12-09,2024-12-24
Jigra,Chennai,Wave Cinemas,437,103,45011,2024-11-05,2024-11-28
Tiger 3,Kolkata,Cinepolis,295,158,46610,2025-02-13,2025-02-20
Dunki,Ahmedabad,Cinepolis,254,154,39116,2025-01-04,2025-01-26
Metro In Dino,Mumbai,Carnival Cinemas,570,27,15390,2025-01-29,2025-02-17
Bade Miyan Chote Miyan,Hyderabad,INOX,257,85,21845,2024-11-19,2024-12-03
Salaar,Ahmedabad,Wave Cinemas,586,174,101964,2024-12-05,2025-01-04
Bhool Bhulaiyaa 3,Bangalore,Wave Cinemas,216,188,40608,2025-01-31,2025-02-18
Sam Bahadur,Chandigarh,Carnival Cinemas,282,27,7614,2024-12-04,2024-12-25
Guntur Kaaram,Pune,Miraj Cinemas,585,86,50310,2024-12-09,2024-12-28
Yodha,Pune,Wave Cinemas,383,196,75068,2025-01-28,2025-02-14
War 2,Chandigarh,INOX,247,76,18772,2024-11-14,2024-11-21
Sam Bahadur,Kolkata,PVR,302,135,40770,2024-12-08,2024-12-26
Metro In Dino,Hyderabad,Cinepolis,297,86,25542,2024-11-08,2024-12-07
Metro In Dino,Lucknow,Carnival Cinemas,302,131,39562,2024-12-14,2024-12-24
Mr. and Mrs. Mahi,Chennai,PVR,574,162,92988,2025-01-11,2025-01-24
Fighter,Bangalore,Miraj Cinemas,406,68,27608,2024-10-17,2024-11-10
The Diplomat,Mumbai,Cinepolis,329,181,59549,2025-02-06,2025-02-16
War 2,Hyderabad,Wave Cinemas,559,77,43043,2024-10-31,2024-11-10
Animal,Mumbai,Carnival Cinemas,340,92,31280,2024-11-15,2024-11-30
The Crew,Jaipur,Wave Cinemas,443,76,33668,2025-01-09,2025-02-02
Emergency,Lucknow,Wave Cinemas,202,115,23230,2024-12-31,2025-01-13
Bade Miyan Chote Miyan,Delhi,PVR,288,63,18144,2025-02-05,2025-02-16
Yodha,Mumbai,Carnival Cinemas,447,111,49617,2024-11-01,2024-11-21
Bade Miyan Chote Miyan,Lucknow,PVR,597,107,63879,2025-01-31,2025-02-23
Bade Miyan Chote Miyan,Mumbai,PVR,430,196,84280,2024-11-24,2024-12-08
Chandu Champion,Kolkata,Miraj Cinemas,530,102,54060,2024-11-24,2024-12-13
Stree 2,Mumbai,Miraj Cinemas,274,15,4110,2025-01-15,2025-01-24
Stree 2,Chandigarh,PVR,410,33,13530,2024-12-30,2025-01-10
The Crew,Lucknow,Carnival Cinemas,394,54,21276,2024-11-22,2024-12-03
War 2,Mumbai,INOX,470,179,84130,2024-10-22,2024-11-03
Jigra,Chennai,INOX,346,95,32870,2024-12-25,2025-01-03
Jigra,Mumbai,Cinepolis,591,183,108153,2024-11-01,2024-11-25
Tiger 3,Delhi,Miraj Cinemas,383,72,27576,2025-01-11,2025-01-29
Bade Miyan Chote Miyan,Bhopal,INOX,193,166,32038,2024-11-02,2024-11-25
Bhool Bhulaiyaa 3,Delhi,Wave Cinemas,355,116,41180,2024-12-08,2024-12-23
Animal,Bhopal,PVR,267,127,33909,2024-11-09,2024-11-20
Salaar,Mumbai,INOX,190,169,32110,2024-11-19,2024-12-05
Emergency,Bangalore,PVR,243,200,48600,2024-12-25,2025-01-19
Chandu Champion,Chennai,INOX,484,154,74536,2025-01-10,2025-02-05
Bade Miyan Chote Miyan,Hyderabad,INOX,374,92,34408,2025-01-02,2025-01-17
Mr. and Mrs. Mahi,Bangalore,Miraj Cinemas,186,96,17856,2024-11-21,2024-12-12
Singham Again,Indore,Carnival Cinemas,496,86,42656,2024-12-15,2025-01-11
Dunki,Hyderabad,INOX,295,95,28025,2024-11-04,2024-11-28
Bade Miyan Chote Miyan,Jaipur,Cinepolis,221,104,22984,2024-10-31,2024-11-26
War 2,Bangalore,PVR,586,45,26370,2024-12-29,2025-01-12
Merry Christmas,Hyderabad,Cinepolis,490,117,57330,2025-01-22,2025-02-20
Salaar,Lucknow,Miraj Cinemas,402,143,57486,2024-11-14,2024-12-04
Metro In Dino,Delhi,Carnival Cinemas,503,173,87019,2024-10-24,2024-11-18
Tiger 3,Bhopal,Carnival Cinemas,244,133,32452,2024-11-16,2024-12-03
Stree 2,Pune,Carnival Cinemas,405,172,69660,2025-01-18,2025-01-29
Metro In Dino,Chennai,Wave Cinemas,252,98,24696,2024-11-16,2024-12-16
Jigra,Bhopal,PVR,208,92,19136,2024-11-13,2024-12-12
Guntur Kaaram,Lucknow,Cinepolis,355,98,34790,2024-10-09,2024-11-08
Emergency,Hyderabad,PVR,530,29,15370,2024-12-10,2024-12-20
Tiger 3,Hyderabad,Miraj Cinemas,353,137,48361,2024-11-29,2024-12-06
War 2,Bangalore,Carnival Cinemas,189,146,27594,2025-01-26,2025-02-03
Animal,Ahmedabad,PVR,319,34,10846,2024-12-08,2024-12-24
Yodha,Chennai,Carnival Cinemas,582,153,89046,2024-12-19,2025-01-09
The Crew,Hyderabad,PVR,416,12,4992,2024-12-01,2024-12-13
Tiger 3,Indore,Wave Cinemas,357,123,43911,2025-01-03,2025-01-19
Dunki,Jaipur,INOX,526,110,57860,2025-01-04,2025-01-17
Chandu Champion,Chandigarh,Miraj Cinemas,453,21,9513,2025-02-08,2025-02-23
Bhool Bhulaiyaa 3,Lucknow,PVR,492,105,51660,2025-01-19,2025-02-17
Fighter,Bangalore,Miraj Cinemas,214,169,36166,2024-11-29,2024-12-11
Jigra,Pune,Miraj Cinemas,571,105,59955,2024-11-18,2024-12-02
Bhool Bhulaiyaa 3,Chandigarh,Carnival Cinemas,595,137,81515,2024-11-28,2024-12-19
Pushpa 2,Bangalore,INOX,455,77,35035,2025-02-18,2025-02-27
Chandu Champion,Bangalore,Wave Cinemas,233,113,26329,2025-02-13,2025-02-20
Salaar,Chennai,Cinepolis,215,145,31175,2024-10-23,2024-11-16
Singham Again,Ahmedabad,Miraj Cinemas,417,154,64218,2024-11-09,2024-11-21
Stree 2,Ahmedabad,INOX,537,195,104715,2024-11-08,2024-11-15
Stree 2,Chennai,PVR,307,96,29472,2024-11-17,2024-12-06
Tiger 3,Delhi,Cinepolis,180,54,9720,2025-01-30,2025-02-10
Bade Miyan Chote Miyan,Hyderabad,Wave Cinemas,443,95,42085,2025-01-02,2025-01-28
Bhool Bhulaiyaa 3,Chandigarh,Miraj Cinemas,350,175,61250,2024-12-07,2024-12-19
Tiger 3,Mumbai,PVR,476,36,17136,2024-10-27,2024-11-25
Stree 2,Chennai,Carnival Cinemas,597,122,72834,2024-12-23,2025-01-01
Fighter,Kolkata,Carnival Cinemas,509,47,23923,2025-01-21,2025-02-18
Merry Christmas,Hyderabad,PVR,446,53,23638,2024-12-01,2024-12-09
The Crew,Bhopal,INOX,236,184,43424,2025-01-05,2025-01-25
Metro In Dino,Jaipur,Carnival Cinemas,358,39,13962,2025-01-29,2025-02-22
Pushpa 2,Lucknow,Cinepolis,240,17,4080,2024-10-25,2024-11-03
Bade Miyan Chote Miyan,Delhi,Wave Cinemas,510,124,63240,2024-11-09,2024-11-27
Fighter,Chennai,Carnival Cinemas,254,17,4318,2025-01-17,2025-02-09
Stree 2,Delhi,INOX,262,144,37728,2025-01-22,2025-02-15
Tiger 3,Hyderabad,INOX,243,182,44226,2024-10-23,2024-11-19
Tiger 3,Kolkata,PVR,236,97,22892,2024-11-09,2024-12-02
The Crew,Jaipur,PVR,201,94,18894,2025-01-15,2025-02-10
Sam Bahadur,Ahmedabad,Carnival Cinemas,264,144,38016,2024-12-10,2024-12-18
Pushpa 2,Lucknow,INOX,255,89,22695,2024-12-24,2025-01-12
Mr. and Mrs. Mahi,Hyderabad,PVR,385,77,29645,2024-12-03,2024-12-20
Salaar,Kolkata,Cinepolis,367,51,18717,2024-11-07,2024-11-23
Metro In Dino,Bhopal,Wave Cinemas,220,105,23100,2024-11-08,2024-11-26
Sam Bahadur,Bhopal,Wave Cinemas,183,111,20313,2024-12-07,2024-12-14
Metro In Dino,Chennai,PVR,369,154,56826,2024-11-22,2024-12-22
Guntur Kaaram,Delhi,Miraj Cinemas,198,139,27522,2024-11-10,2024-11-19
Dunki,Chandigarh,Wave Cinemas,589,87,51243,2024-11-16,2024-12-04
Salaar,Delhi,Miraj Cinemas,323,116,37468,2024-11-04,2024-11-17
Metro In Dino,Chennai,PVR,464,70,32480,2024-10-15,2024-11-02
Guntur Kaaram,Ahmedabad,Cinepolis,180,92,16560,2025-01-14,2025-02-06
Bhool Bhulaiyaa 3,Mumbai,INOX,318,119,37842,2024-11-17,2024-12-17
Merry Christmas,Bhopal,INOX,419,125,52375,2024-12-06,2025-01-01
Dunki,Chandigarh,Carnival Cinemas,545,66,35970,2025-01-15,2025-02-14
Stree 2,Indore,PVR,531,28,14868,2025-01-03,2025-01-10
Sam Bahadur,Chandigarh,PVR,596,153,91188,2025-01-26,2025-02-16
Animal,Delhi,Carnival Cinemas,293,71,20803,2025-01-21,2025-02-06
Yodha,Chandigarh,Wave Cinemas,250,47,11750,2025-01-17,2025-02-01
Bhool Bhulaiyaa 3,Bhopal,PVR,398,186,74028,2024-11-02,2024-11-11
Jigra,Ahmedabad,Wave Cinemas,545,31,16895,2024-10-22,2024-11-10
Pushpa 2,Jaipur,Cinepolis,565,152,85880,2024-10-20,2024-11-10
Singham Again,Indore,Carnival Cinemas,387,131,50697,2024-12-15,2024-12-24
Animal,Kolkata,Wave Cinemas,328,156,51168,2024-11-25,2024-12-24
Chandu Champion,Mumbai,Miraj Cinemas,507,103,52221,2025-01-01,2025-01-09
Mr. and Mrs. Mahi,Mumbai,INOX,374,176,65824,2025-01-10,2025-02-02
Animal,Lucknow,Miraj Cinemas,391,118,46138,2024-12-25,2025-01-06
Mr. and Mrs. Mahi,Bangalore,PVR,375,131,49125,2025-01-17,2025-02-07
Sam Bahadur,Mumbai,Carnival Cinemas,421,55,23155,2025-01-26,2025-02-19
Animal,Chennai,PVR,482,59,28438,2024-12-25,2025-01-08
Stree 2,Bangalore,Carnival Cinemas,489,23,11247,2024-10-16,2024-11-14
Tiger 3,Kolkata,INOX,581,159,92379,2024-12-12,2024-12-20
Yodha,Lucknow,Carnival Cinemas,581,182,105742,2024-11-10,2024-11-27
Bade Miyan Chote Miyan,Bhopal,Cinepolis,354,170,60180,2024-12-07,2024-12-30
Bhool Bhulaiyaa 3,Chennai,Cinepolis,431,135,58185,2024-12-20,2025-01-14
Singham Again,Kolkata,Cinepolis,445,19,8455,2024-11-07,2024-12-02
Guntur Kaaram,Bangalore,Carnival Cinemas,453,50,22650,2025-01-03,2025-01-16
Animal,Chandigarh,Cinepolis,277,158,43766,2024-12-06,2025-01-04
Bhool Bhulaiyaa 3,Bhopal,Wave Cinemas,255,38,9690,2024-12-09,2025-01-03
Pushpa 2,Bangalore,Carnival Cinemas,314,169,53066,2025-02-12,2025-02-19
Fighter,Bangalore,PVR,266,158,42028,2024-11-29,2024-12-15
Metro In Dino,Bhopal,Wave Cinemas,510,197,100470,2025-01-20,2025-02-08
Fighter,Indore,Wave Cinemas,424,49,20776,2024-10-19,2024-11-16
Pushpa 2,Bhopal,Carnival Cinemas,360,26,9360,2024-12-03,2024-12-27
Dunki,Delhi,Cinepolis,358,181,64798,2025-02-14,2025-02-28
Dunki,Lucknow,Wave Cinemas,253,62,15686,2024-10-21,2024-11-07
The Diplomat,Kolkata,INOX,329,104,34216,2024-11-17,2024-12-17
Merry Christmas,Indore,INOX,261,14,3654,2024-10-24,2024-11-17
The Diplomat,Indore,Carnival Cinemas,566,44,24904,2024-11-06,2024-11-30
War 2,Bangalore,Carnival Cinemas,568,117,66456,2024-10-28,2024-11-13
Chandu Champion,Lucknow,PVR,365,169,61685,2025-01-14,2025-02-07
Tiger 3,Pune,Carnival Cinemas,598,151,90298,2024-12-11,2025-01-02
War 2,Kolkata,PVR,277,146,40442,2024-11-05,2024-12-03
Yodha,Delhi,PVR,367,89,32663,2024-12-21,2025-01-15
Yodha,Jaipur,INOX,328,10,3280,2025-02-04,2025-02-23
War 2,Pune,Cinepolis,503,46,23138,2024-11-06,2024-12-04
Dunki,Bhopal,Wave Cinemas,228,192,43776,2025-01-17,2025-01-30
Bhool Bhulaiyaa 3,Lucknow,Carnival Cinemas,547,60,32820,2024-12-12,2024-12-21
Tiger 3,Bhopal,Cinepolis,271,18,4878,2024-11-14,2024-11-25
Merry Christmas,Indore,Miraj Cinemas,221,10,2210,2024-12-14,2025-01-13
Salaar,Mumbai,Wave Cinemas,416,43,17888,2024-11-05,2024-11-16
Dunki,Kolkata,Carnival Cinemas,386,68,26248,2024-11-18,2024-12-02
Sam Bahadur,Delhi,Cinepolis,503,113,56839,2025-01-27,2025-02-14
Animal,Pune,Wave Cinemas,235,73,17155,2024-10-27,2024-11-23
Emergency,Indore,Carnival Cinemas,412,100,41200,2024-12-02,2024-12-20
Metro In Dino,Indore,INOX,307,145,44515,2024-12-31,2025-01-14
Merry Christmas,Jaipur,Wave Cinemas,376,46,17296,2024-10-11,2024-11-01
Singham Again,Jaipur,Miraj Cinemas,306,84,25704,2024-11-29,2024-12-24
Chandu Champion,Lucknow,Wave Cinemas,232,181,41992,2024-11-23,2024-12-03
Chandu Champion,Mumbai,PVR,286,79,22594,2025-01-27,2025-02-20
Tiger 3,Hyderabad,INOX,231,191,44121,2025-01-24,2025-02-21
Tiger 3,Chennai,PVR,330,93,30690,2024-10-14,2024-11-07
Fighter,Chandigarh,Carnival Cinemas,206,188,38728,2024-12-01,2024-12-10
Dunki,Kolkata,Carnival Cinemas,322,64,20608,2025-02-04,2025-02-26
Fighter,Ahmedabad,Cinepolis,207,95,19665,2024-11-30,2024-12-22
Merry Christmas,Bangalore,Cinepolis,190,118,22420,2024-11-01,2024-11-21
Singham Again,Chennai,Carnival Cinemas,488,100,48800,2024-10-28,2024-11-06
Bade Miyan Chote Miyan,Bhopal,Wave Cinemas,381,157,59817,2024-11-25,2024-12-06
War 2,Mumbai,PVR,205,119,24395,2024-12-28,2025-01-26
Sam Bahadur,Ahmedabad,Carnival Cinemas,511,32,16352,2024-11-11,2024-12-03
Guntur Kaaram,Lucknow,INOX,524,126,66024,2025-01-30,2025-02-26
Salaar,Lucknow,Wave Cinemas,312,134,41808,2025-01-04,2025-01-11
The Crew,Indore,Miraj Cinemas,469,60,28140,2025-01-19,2025-02-11
Metro In Dino,Hyderabad,PVR,183,155,28365,2025-01-11,2025-01-21
Sam Bahadur,Chennai,INOX,580,28,16240,2024-12-02,2024-12-26
Stree 2,Chennai,INOX,341,186,63426,2024-11-07,2024-11-21
Salaar,Pune,Carnival Cinemas,590,135,79650,2025-01-18,2025-02-05
Sam Bahadur,Delhi,Miraj Cinemas,387,108,41796,2024-12-16,2024-12-28
Tiger 3,Hyderabad,PVR,185,105,19425,2024-11-03,2024-11-29
Stree 2,Chennai,PVR,257,153,39321,2024-10-06,2024-11-02
War 2,Bhopal,Wave Cinemas,480,101,48480,2024-12-18,2024-12-29
Metro In Dino,Lucknow,Carnival Cinemas,387,73,28251,2024-12-06,2024-12-26
Merry Christmas,Bangalore,Miraj Cinemas,369,196,72324,2025-01-19,2025-01-28
